Name,Work ID #,Work Type,Line of Business,Project Manager/Owner,Sub-Portfolio,Sponsor.,Business Priority,Methodology,Part Of Program?,Capitalization Flag,Work Status,Current Gate,Stage,Status Reporting Frequency,Reported - This Period (d),Reporting Period,Reporting Period - Fortnightly,Reporting Period - Weekly,Overall Status Assessment,Scope Status Assessment,Cost Status Assessment,Schedule Status Assessment,Resourcing Status Assessment,Benefit Status Assessment,OCM Status Assessment,Quality Status Assessment,Risks Status Assessment,Issues Status Assessment,Baseline Start,Baseline Finish,Baseline Duration (d),Requested Start,Requested Finish,Duration at Complete (d),Actual/Schedule Start,Actual/Schedule Finish,Schedule Start,Schedule Finish,Actual Start,Actual Finish,Late Finish,Percent Complete,"Milestones, Total","Milestones,Completed","Milestones,Remain","Milestones, Scheduled","Milestones, Late","Milestones, Missed","Milestones, On Time","Changes, Active","Changes, Total","Risks, Active","Risks, Total",Are there changes to the business capability?,Are there changes to support arrangements?,Will there be Architecture changes?,"Issues, Active","Issues, Total",Gate 0 Date,Gate 1 Date,Gate 2 Date,Gate 3 Date
Project 1,1001444,Epic,Line of Business 9,Project Manager 13,Sub-Portfolio 7,,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/05/2024,28/06/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 2,1000925,Application Support,,Project Manager 26,Sub-Portfolio 5,,,,,,Open/Active,,,Weekly,,,,,,,,,,,,,,,,,,01/12/2023,28/06/2024,139.9,27/11/2023,28/06/2024,27/11/2023,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 3,1000923,Application Support,,Project Manager 38,Sub-Portfolio 5,,,,,,Open/Active,,,,,,,,,,,,,,,,,,,,,01/12/2023,28/06/2024,174.6,01/11/2023,23/07/2024,01/11/2023,23/07/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 4,1001277,Project,Line of Business 13,Project Manager 28,Sub-Portfolio 7,,,,No,Capital,On Hold,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,30/06/2025,993.9,14/08/2024,07/08/2028,14/08/2024,07/08/2028,,,,0,,,,,,,,,,,,,,,,,,,,
Project 5,1001299,Minor Work,Line of Business 20,Project Manager 39,Sub-Portfolio 7,,,,No,Capital,Requested,,2. Concept,Monthly,,Jun-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,18/03/2024,28/06/2024,116.0,18/03/2024,30/08/2024,18/03/2024,30/08/2024,18/03/2024,,,29,,,,,,,,,,,,,,,,,,,,
Project 6,1001373,Project,Line of Business 20,Project Manager 28,Sub-Portfolio 7,Sponsor 31,,Agile,No,Capital,Open/Active,Gate 1,4. Analyse & Design,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,18/03/2024,30/06/2025,315.9,25/03/2024,28/06/2024,423.9,18/03/2024,28/11/2025,18/03/2024,28/11/2025,09/04/2024,,,15,27,27,,27,,,,,,2,3,Moderate Changes,Moderate Changes,No Changes,,,27/06/2024,17/09/2024,,
Project 7,1001392,Project,Line of Business 13,Project Manager 28,Sub-Portfolio 7,,,,,Capital,On Hold,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,02/04/2024,28/06/2024,62.0,02/04/2024,28/06/2024,02/04/2024,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 8,1001430,Project,Line of Business 20,Project Manager 7,Sub-Portfolio 7,,,,No,Opex,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,22/04/2024,28/06/2024,52.9,15/04/2024,28/06/2024,15/04/2024,28/06/2024,20/05/2024,,,26,,,,,,,,,,,,,,,,,,,,
Project 9,1001437,Minor Work,Line of Business 13,Project Manager 28,Sub-Portfolio 7,Sponsor 42,,,,Capital,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,29/04/2024,28/06/2024,113.9,22/04/2024,30/09/2024,22/04/2024,30/09/2024,29/04/2024,,,18,,,,,,,,,,,,,,,,,,,,
Project 10,1001413,Minor Work,Line of Business 23,Project Manager 39,Sub-Portfolio 7,,,,No,Capital,Requested,,2. Concept,Monthly,,Jun-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,15/04/2024,28/06/2024,57.9,08/04/2024,28/06/2024,08/04/2024,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 11,1001458,Minor Work,,Project Manager 28,Sub-Portfolio 7,,,,,Opex,On Hold,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,13/05/2024,31/07/2024,61.1,06/05/2024,31/07/2024,06/05/2024,31/07/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 12,1001486,Application Support,Line of Business 13,Project Manager 7,Sub-Portfolio 7,,High,,,Opex,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/06/2024,31/10/2024,110.1,27/05/2024,30/10/2024,27/05/2024,30/10/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 13,1001504,Application Support,Line of Business 13,Project Manager 7,Sub-Portfolio 7,,High,,,Opex,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/06/2024,31/10/2024,106.1,03/06/2024,31/10/2024,03/06/2024,31/10/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 14,1001816,Project,,Project Manager 7,Sub-Portfolio 7,,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,09/12/2024,30/06/2025,131.0,09/12/2024,30/06/2025,09/12/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 15,1001566,Project,,Project Manager 28,Sub-Portfolio 7,,,,No,Capex & Opex,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,22/07/2024,31/01/2025,225.0,29/07/2024,30/06/2025,29/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 16,1001524,Minor Work,,Project Manager 7,Sub-Portfolio 7,,,,,,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,01/07/2024,31/07/2025,282.0,09/08/2024,30/09/2025,09/08/2024,30/09/2025,09/08/2024,,,42,,,,,,,,,,1,1,,,,,,,,,
Project 17,1001579,Minor Work,,Project Manager 28,Sub-Portfolio 7,,,,No,Opex,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,05/08/2024,20/12/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 18,1001602,Project,,Project Manager 28,Sub-Portfolio 7,,,,No,Capital,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,26/08/2024,31/03/2025,325.9,02/09/2024,24/12/2025,02/09/2024,24/12/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 19,1001834,Light Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 33,,,No,Capital,Requested,,2. Concept,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Amber,,,,04/02/2025,30/06/2025,141.0,10/02/2025,29/08/2025,10/02/2025,29/08/2025,10/02/2025,,,10,,,,,,,,,,3,3,,,,1,2,,,,
Project 20,1001765,Minor Work,,Project Manager 7,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,21/10/2024,30/06/2025,429.8,21/10/2024,28/07/2026,21/10/2024,28/07/2026,21/10/2024,,,3,,,,,,,,,,,,,,,,,,,,
Project 21,1001650,Minor Work,,Project Manager 7,Sub-Portfolio 7,,Important,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,08/10/2024,30/06/2025,182.9,08/10/2024,10/07/2025,08/10/2024,10/07/2025,22/11/2024,,,1,,,,,,,,,,,,,,,,,,,,
Project 22,1001802,Project,Line of Business 22,Project Manager 7,Sub-Portfolio 7,Sponsor 15,,,,,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,15/11/2024,30/06/2025,25.0,09/12/2024,24/01/2025,09/12/2024,24/01/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 23,1000872,Project,,Project Manager 7,Sub-Portfolio 8,,,,No,Opex,Requested,,2. Concept,Monthly,,May-2024,,,Green,Green,Green,Amber,Green,Green,Green,,Green,Green,,,,01/03/2023,02/02/2024,450.0,04/03/2024,22/12/2025,07/03/2024,22/12/2025,04/03/2024,,02/06/2025,40,72,68,4,,,,,,,,,,,,1,1,,,,
Project 24,1001819,Minor Work,,Project Manager 24,Sub-Portfolio 7,Sponsor 9,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,09/12/2024,30/09/2025,130.9,24/03/2025,26/09/2025,24/03/2025,26/09/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 25,1001817,Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 12,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,09/12/2024,30/06/2025,215.0,09/12/2024,27/10/2025,09/12/2024,27/10/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 26,1001818,Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 41,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,09/12/2024,28/03/2025,163.2,09/12/2024,14/08/2025,09/12/2024,14/08/2025,09/12/2024,,,22,,,,,,,,,,,,,,,,,,,,
Project 27,1001822,Project,,Project Manager 7,Sub-Portfolio 7,,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,13/12/2024,30/06/2025,185.0,06/01/2025,26/09/2025,06/01/2025,26/09/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 28,1001860,Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 27,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,24/02/2025,30/06/2025,62.0,03/03/2025,30/05/2025,03/03/2025,30/05/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 29,1001873,Minor Work,,Project Manager 7,Sub-Portfolio 7,Sponsor 36,Low,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/03/2025,30/06/2025,82.0,03/03/2025,30/06/2025,03/03/2025,30/06/2025,,,,0,,,,,,,,,,1,1,,,,,,,,,
Project 30,1001895,Minor Work,,Project Manager 7,Sub-Portfolio 7,Sponsor 39,High,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,28/03/2025,30/06/2025,63.0,28/03/2025,30/06/2025,28/03/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 31,1001891,Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 47,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,21/03/2025,30/06/2025,19.0,22/04/2025,19/05/2025,22/04/2025,19/05/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 32,1001898,Project,,Project Manager 7,Sub-Portfolio 7,Sponsor 36,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,04/04/2025,30/06/2025,81.0,04/04/2025,31/07/2025,04/04/2025,31/07/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 33,1001896,Project,,,Sub-Portfolio 7,Sponsor 5,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,28/03/2025,30/06/2025,62.0,31/03/2025,30/06/2025,31/03/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
