Project Status,Schedule Variance,Project Description,Milestone Description,Milestone Type,Milestone Indentifier,Project Status,Stage,Work Notes:,Actual/Schedule Finish,Baseline Date,Variance (d),Variance (%)
Requested,0%,Project 132,Release 1.1 Go-Live,Deliverable,Go-Live,Requested,3. Evaluate,Delay reason shown here,29/08/2025,29/08/2025,0,0.0%
Requested,0%,Project 132,Release 1.2 Go-Live,Deliverable,Go-Live,Requested,3. Evaluate,Delay reason shown here,01/04/2026,01/04/2026,0,0.0%
Requested,0%,Project 132,Release 1.3 Go-Live,Deliverable,Go-Live,Requested,3. Evaluate,Delay reason shown here,04/09/2026,04/09/2026,0,0.0%
Requested,0%,Project 143,4.09 Test Plan Sign Off Phase 2,Deliverable,Unassigned,Requested,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Requested,0%,Project 143,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Requested,3. Evaluate,Delay reason shown here,31/10/2025,31/10/2025,0,0.0%
Requested,-25% to -10%,Project 59,4.00 Technical Sol'n Design Sign Off,Deliverable,Unassigned,Requested,3. Evaluate,Delay reason shown here,10/04/2025,28/02/2025,-29,-12.9%
Requested,-25% to -10%,Project 59,4.08 Infrastructure Sol'n Design Sign Off,Deliverable,Unassigned,Requested,3. Evaluate,Delay reason shown here,10/04/2025,28/02/2025,-29,-12.9%
Requested,<-25%,Project 167,3.14 Project Management Plan Sign Off,Deliverable,Project Kickoff,Requested,3. Evaluate,Delay reason shown here,01/04/2025,15/11/2024,-86,-25.2%
Requested,N/A,Project 22,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,12/12/2025,,,
Requested,N/A,Project 22,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,15/12/2025,,,
Requested,N/A,Project 22,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,17/12/2025,,,
Requested,N/A,Project 22,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,22/12/2025,,,
Requested,-5% to 0%,Project 154,3.03 GR Cyber Sec Assessment Form Submitted (Opt),Deliverable,Project Kickoff,Requested,3. Evaluate,Delay reason shown here,01/04/2025,17/03/2025,-12,-3.6%
Requested,-10% to -5%,Project 140,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Requested,6. Implement,Delay reason shown here,01/04/2025,20/12/2024,-61,-8.7%
Requested,-10% to -5%,Project 140,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Requested,6. Implement,Delay reason shown here,01/04/2025,20/12/2024,-61,-8.7%
Requested,-10% to -5%,Project 140,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Requested,6. Implement,Delay reason shown here,01/04/2025,20/12/2024,-61,-8.7%
